23:40:16.694 [AWT-EventQueue-0] INFO  c.b.actions.DisableBrowserStack - Setting disable browserstack run update
15:17:42.010 [ApplicationImpl pooled thread 164] INFO  c.b.l.BrowserStackRunExtension - Agent path: null
15:20:36.150 [ApplicationImpl pooled thread 161] INFO  c.b.l.BrowserStackRunExtension - testng
15:20:36.151 [ApplicationImpl pooled thread 161] INFO  com.browserstack.utils.Helpers - null
15:20:36.151 [ApplicationImpl pooled thread 161] INFO  c.b.l.BrowserStackRunExtension - Agent path: null
15:25:30.188 [ApplicationImpl pooled thread 168] INFO  c.b.l.BrowserStackRunExtension - testng
15:25:30.189 [ApplicationImpl pooled thread 168] INFO  com.browserstack.utils.Helpers - null
15:25:30.189 [ApplicationImpl pooled thread 168] INFO  c.b.l.BrowserStackRunExtension - Agent path: null
15:52:11.342 [ApplicationImpl pooled thread 177] INFO  c.b.l.BrowserStackRunExtension - testng
15:52:11.343 [ApplicationImpl pooled thread 177] INFO  com.browserstack.utils.Helpers - null
15:52:11.343 [ApplicationImpl pooled thread 177] INFO  c.b.l.BrowserStackRunExtension - Agent path: null
22:01:58.780 [ApplicationImpl pooled thread 280] INFO  c.b.l.BrowserStackRunExtension - testng
22:01:58.780 [ApplicationImpl pooled thread 280] INFO  com.browserstack.utils.Helpers - null
22:01:58.781 [ApplicationImpl pooled thread 280] INFO  c.b.l.BrowserStackRunExtension - Agent path: null
22:28:03.368 [ApplicationImpl pooled thread 306] INFO  c.b.l.BrowserStackRunExtension - testng
22:28:03.368 [ApplicationImpl pooled thread 306] INFO  com.browserstack.utils.Helpers - null
22:28:03.369 [ApplicationImpl pooled thread 306] INFO  c.b.l.BrowserStackRunExtension - Agent path: null
22:32:11.623 [ApplicationImpl pooled thread 309] INFO  c.b.l.BrowserStackRunExtension - testng
22:32:11.623 [ApplicationImpl pooled thread 309] INFO  com.browserstack.utils.Helpers - null
22:32:11.624 [ApplicationImpl pooled thread 309] INFO  c.b.l.BrowserStackRunExtension - Agent path: null
22:37:47.349 [ApplicationImpl pooled thread 310] INFO  c.b.l.BrowserStackRunExtension - testng
22:37:47.349 [ApplicationImpl pooled thread 310] INFO  com.browserstack.utils.Helpers - null
22:37:47.349 [ApplicationImpl pooled thread 310] INFO  c.b.l.BrowserStackRunExtension - Agent path: null
23:16:42.007 [ApplicationImpl pooled thread 341] INFO  c.b.l.BrowserStackRunExtension - testng
23:16:42.007 [ApplicationImpl pooled thread 341] INFO  com.browserstack.utils.Helpers - null
23:16:42.007 [ApplicationImpl pooled thread 341] INFO  c.b.l.BrowserStackRunExtension - Agent path: null
23:16:59.845 [ApplicationImpl pooled thread 338] INFO  c.b.l.BrowserStackRunExtension - testng
23:16:59.846 [ApplicationImpl pooled thread 338] INFO  com.browserstack.utils.Helpers - null
23:16:59.846 [ApplicationImpl pooled thread 338] INFO  c.b.l.BrowserStackRunExtension - Agent path: null
23:17:38.806 [ApplicationImpl pooled thread 336] INFO  c.b.l.BrowserStackRunExtension - testng
23:17:38.806 [ApplicationImpl pooled thread 336] INFO  com.browserstack.utils.Helpers - null
23:17:38.806 [ApplicationImpl pooled thread 336] INFO  c.b.l.BrowserStackRunExtension - Agent path: null
23:37:41.933 [ApplicationImpl pooled thread 351] INFO  c.b.l.BrowserStackRunExtension - testng
23:37:41.933 [ApplicationImpl pooled thread 351] INFO  com.browserstack.utils.Helpers - null
23:37:41.934 [ApplicationImpl pooled thread 351] INFO  c.b.l.BrowserStackRunExtension - Agent path: null
23:38:50.306 [ApplicationImpl pooled thread 353] INFO  c.b.l.BrowserStackRunExtension - testng
23:38:50.307 [ApplicationImpl pooled thread 353] INFO  com.browserstack.utils.Helpers - null
23:38:50.307 [ApplicationImpl pooled thread 353] INFO  c.b.l.BrowserStackRunExtension - Agent path: null
23:40:41.454 [ApplicationImpl pooled thread 352] INFO  c.b.l.BrowserStackRunExtension - testng
23:40:41.454 [ApplicationImpl pooled thread 352] INFO  com.browserstack.utils.Helpers - null
23:40:41.455 [ApplicationImpl pooled thread 352] INFO  c.b.l.BrowserStackRunExtension - Agent path: null
23:48:12.087 [ApplicationImpl pooled thread 360] INFO  c.b.l.BrowserStackRunExtension - testng
23:48:12.087 [ApplicationImpl pooled thread 360] INFO  com.browserstack.utils.Helpers - null
23:48:12.088 [ApplicationImpl pooled thread 360] INFO  c.b.l.BrowserStackRunExtension - Agent path: null
23:43:47.572 [ApplicationImpl pooled thread 484] INFO  c.b.l.BrowserStackRunExtension - testng
23:43:47.572 [ApplicationImpl pooled thread 484] INFO  com.browserstack.utils.Helpers - null
23:43:47.572 [ApplicationImpl pooled thread 484] INFO  c.b.l.BrowserStackRunExtension - Agent path: null
00:03:46.716 [ApplicationImpl pooled thread 581] INFO  c.b.l.BrowserStackRunExtension - testng
00:03:46.716 [ApplicationImpl pooled thread 581] INFO  com.browserstack.utils.Helpers - null
00:03:46.717 [ApplicationImpl pooled thread 581] INFO  c.b.l.BrowserStackRunExtension - Agent path: null
00:07:29.415 [ApplicationImpl pooled thread 583] INFO  c.b.l.BrowserStackRunExtension - testng
00:07:29.415 [ApplicationImpl pooled thread 583] INFO  com.browserstack.utils.Helpers - null
00:07:29.415 [ApplicationImpl pooled thread 583] INFO  c.b.l.BrowserStackRunExtension - Agent path: null
00:10:20.819 [ApplicationImpl pooled thread 583] INFO  c.b.l.BrowserStackRunExtension - testng
00:10:20.819 [ApplicationImpl pooled thread 583] INFO  com.browserstack.utils.Helpers - null
00:10:20.820 [ApplicationImpl pooled thread 583] INFO  c.b.l.BrowserStackRunExtension - Agent path: null
00:12:13.558 [ApplicationImpl pooled thread 589] INFO  c.b.l.BrowserStackRunExtension - testng
